Zipcode,City,State,County
501,Holtsville,NY,Suffolk
544,Holtsville,NY,Suffolk
601,Adjuntas,PR,Adjuntas
602,Aguada,PR,
603,Aguadilla,PR,Aguadilla
604,Aguadilla,PR,
605,Aguadilla,PR,
606,Maricao,PR,Maricao
610,Anasco,PR,
611,Angeles,PR,
612,Arecibo,PR,Arecibo
613,Arecibo,PR,
614,Arecibo,PR,
616,Bajadero,PR,Arecibo
617,Barceloneta,PR,Barceloneta
622,Boqueron,PR,
623,Cabo Rojo,PR,
624,Penuelas,PR,
627,Camuy,PR,
631,Castaner,PR,
636,Rosario,PR,
637,Sabana Grande,PR,
638,Ciales,PR,
641,Utuado,PR,
646,Dorado,PR,
647,Ensenada,PR,
650,Florida,PR,
652,Garrochales,PR,Arecibo
653,Guanica,PR,
656,Guayanilla,PR,
659,Hatillo,PR,
660,Hormigueros,PR,
662,Isabela,PR,
664,Jayuya,PR,
667,Lajas,PR,
669,Lares,PR,
670,Las Marias,PR,
674,Manati,PR,
676,Moca,PR,
677,Rincon,PR,
678,Quebradillas,PR,
680,Mayaguez,PR,
681,Mayaguez,PR,
682,Mayaguez,PR,
683,San German,PR,
685,San Sebastian,PR,
687,Morovis,PR,
688,Sabana Hoyos,PR,
690,San Antonio,PR,
692,Vega Alta,PR,
693,Vega Baja,PR,
694,Vega Baja,PR,
698,Yauco,PR,
703,Aguas Buenas,PR,
704,Aguirre,PR,
705,Aibonito,PR,
707,Maunabo,PR,
714,Arroyo,PR,
715,Mercedita,PR,
716,Ponce,PR,
717,Ponce,PR,
718,Naguabo,PR,
719,Naranjito,PR,
720,Orocovis,PR,
721,Palmer,PR,
723,Patillas,PR,Patillas
725,Caguas,PR,
726,Caguas,PR,
727,Caguas,PR,
728,Ponce,PR,
729,Canovanas,PR,CanÃ³vanas
730,Ponce,PR,
731,Ponce,PR,
732,Ponce,PR,
733,Ponce,PR,
734,Ponce,PR,
735,Ceiba,PR,
736,Cayey,PR,
737,Cayey,PR,
738,Fajardo,PR,
739,Cidra,PR,
740,Puerto Real,PR,
741,Punta Santiago,PR,
742,Roosevelt Roads,PR,
744,Rio Blanco,PR,
745,Rio Grande,PR,
751,Salinas,PR,
754,San Lorenzo,PR,
757,Santa Isabel,PR,Santa Isabel
765,Vieques,PR,
766,Villalba,PR,
767,Yabucoa,PR,
769,Coamo,PR,
771,Las Piedras,PR,
772,Loiza,PR,
773,Luquillo,PR,
775,Culebra,PR,
777,Juncos,PR,
778,Gurabo,PR,
780,Coto Laurel,PR,
782,Comerio,PR,
783,Corozal,PR,
784,Guayama,PR,
785,Guayama,PR,
786,La Plata,PR,Aibonito
791,Humacao,PR,
792,Humacao,PR,
794,Barranquitas,PR,
795,Juana Diaz,PR,
801,St Thomas,VI,
802,St Thomas,VI,
803,St Thomas,VI,
804,St Thomas,VI,
805,St Thomas,VI,
820,Christiansted,VI,
821,Christiansted,VI,
822,Christiansted,VI,
823,Christiansted,VI,
824,Christiansted,VI,
830,St John,VI,
831,St John,VI,
840,Frederiksted,VI,
841,Frederiksted,VI,
850,Kingshill,VI,
851,Kingshill,VI,
901,San Juan,PR,
902,San Juan,PR,
906,San Juan,PR,
907,San Juan,PR,
908,San Juan,PR,
909,San Juan,PR,
910,San Juan,PR,
911,San Juan,PR,
912,San Juan,PR,
913,San Juan,PR,
914,San Juan,PR,
915,San Juan,PR,
916,San Juan,PR,
917,San Juan,PR,
918,San Juan,PR,
919,San Juan,PR,
920,San Juan,PR,
921,San Juan,PR,
922,San Juan,PR,
923,San Juan,PR,
924,San Juan,PR,
925,San Juan,PR,
926,San Juan,PR,
927,San Juan,PR,
928,San Juan,PR,
929,San Juan,PR,San Juan
930,San Juan,PR,
931,San Juan,PR,San Juan
933,San Juan,PR,San Juan
934,Fort Buchanan,PR,
935,San Juan,PR,San Juan
936,San Juan,PR,
937,San Juan,PR,San Juan
939,San Juan,PR,San Juan
940,San Juan,PR,
949,Toa Baja,PR,
950,Toa Baja,PR,
951,Toa Baja,PR,
952,Sabana Seca,PR,Toa Baja
953,Toa Alta,PR,Toa Alta
954,Toa Alta,PR,Toa Alta
955,San Juan,PR,San Juan
956,Bayamon,PR,BayamÃ³n
957,Bayamon,PR,BayamÃ³n
958,Bayamon,PR,BayamÃ³n
959,Bayamon,PR,BayamÃ³n
960,Bayamon,PR,
961,Bayamon,PR,BayamÃ³n
962,Catano,PR,CataÃ±o
963,Catano,PR,CataÃ±o
965,Guaynabo,PR,Guaynabo
966,Guaynabo,PR,Guaynabo
968,Guaynabo,PR,Guaynabo
969,Guaynabo,PR,Guaynabo
970,Guaynabo,PR,
971,Guaynabo,PR,Guaynabo
975,San Juan,PR,San Juan
976,Trujillo Alto,PR,Trujillo Alto
977,Trujillo Alto,PR,
978,Saint Just,PR,San Juan
979,Carolina,PR,Carolina
981,Carolina,PR,Carolina
982,Carolina,PR,Carolina
983,Carolina,PR,Carolina
984,Carolina,PR,Carolina
985,Carolina,PR,Carolina
986,Carolina,PR,Carolina
987,Carolina,PR,Carolina
988,Carolina,PR,Carolina
1001,Agawam,MA,Hampden
1001,Agawam Town,MA,Hampden
1002,,MA,Franklin
1002,Amherst,MA,Hampshire
1002,Amherst Center,MA,Hampshire
1002,Cushman,MA,Hampshire
1002,North Amherst,MA,Hampshire
1002,Pelham,MA,Hampshire
1002,South Amherst,MA,Hampshire
1002,,MA,Hampshire
1003,Amherst,MA,Hampshire
1003,Amherst Center,MA,Hampshire
1003,North Amherst,MA,Hampshire
1004,Amherst,MA,Hampshire
1005,Barre,MA,Worcester
1005,Barre,MA,Worcester
1005,,MA,Worcester
1007,Belchertown,MA,Hampshire
1007,Belchertown,MA,Hampshire
1007,,MA,Hampshire
1008,Blandford,MA,Hampden
1008,Blandford,MA,Hampden
1008,,MA,Hampden
1009,Bondsville,MA,Hampden
1009,Palmer Town,MA,Hampden
1010,Brimfield,MA,Hampden
1010,,MA,Hampden
1011,Chester,MA,Hampden
1011,Chester,MA,Hampden
1011,,MA,Hampden
1011,,MA,Hampshire
1012,Chesterfield,MA,Hampshire
1012,,MA,Hampshire
1013,Chicopee,MA,Hampden
1013,Chicopee,MA,Hampden
1013,Willimansett,MA,Hampden
1014,Chicopee,MA,Hampden
1020,Chicopee,MA,Hampden
1020,Chicopee,MA,Hampden
1020,Springfield,MA,Hampden
1021,Chicopee,MA,Hampden
1022,Chicopee,MA,Hampden
1022,Chicopee,MA,Hampden
1022,Westover Afb,MA,Hampden
1026,Cummington,MA,Hampshire
1026,,MA,Hampshire
1027,E Hampton,MA,Hampshire
1027,Easthampton,MA,Hampshire
1027,Easthampton Town,MA,Hampshire
1027,Mount Tom,MA,Hampshire
1027,Westhampton,MA,Hampshire
1027,,MA,Hampshire
1028,E Longmeadow,MA,Hampden
1028,East Longmeadow,MA,Hampden
1028,,MA,Hampden
1029,East Otis,MA,Berkshire
1029,,MA,Berkshire
1030,Agawam Town,MA,Hampden
1030,Feeding Hills,MA,Hampden
1031,Gilbertville,MA,Worcester
1031,,MA,Worcester
1032,Goshen,MA,Hampshire
1032,,MA,Hampshire
1033,Granby,MA,Hampshire
